'goals','hat_y_g','hat_y_xG'
1.0,1.0025,1.1
1.0,1.5355,1.9
1.0,2.007,1.7
0.0,0.9755,1.2
2.0,1.0735,1.1
1.0,1.301,1.9
0.0,0.88450,1.3
2.0,1.381,1.3
0.0,1.7185,2.4
1.0,1.1855,1.2
2.0,1.9665,2.4
0.0,1.5755,1.7
0.0,1.397,1.8
2.0,1.53549,1.5
2.0,1.6075,1.1
2.0,1.6885,2.0
0.0,1.17200,0.8
0.0,1.669,1.8
0.0,1.3945,1.6
3.0,1.9,2.4
1.0,1.1785,1.1
1.0,0.891,1.1
2.0,1.242,1.2
1.0,2.8675,3.1
2.0,1.223,1.0
1.0,1.42,1.7
1.0,1.54,2.3
0.0,1.27549,1.5
1.0,1.1345,2.3
2.0,1.3085,1.2
2.0,2.069,2.2
4.0,3.143,3.8
0.0,1.158,1.2
0.0,1.8485,2.2
2.0,1.6855,1.6
2.0,1.349,1.5
2.0,1.54598,2.3
1.0,1.62550,1.6
2.0,1.7155,1.4
1.0,2.1435,1.4
2.0,1.689,1.5
2.0,1.53649,1.9
0.0,1.35,1.6
1.0,1.25500,1.7
0.0,1.47800,1.3
8.0,2.8085,2.6
1.0,1.3265,1.7
1.0,1.19197,0.9
0.0,1.6195,2.1
2.0,1.4295,1.3
2.0,1.31598,1.3
1.0,1.15249,1.2
1.0,1.1655,1.3
2.0,1.3405,1.7
0.0,0.998,0.5
2.0,2.1535,2.0
2.0,1.73849,1.3
1.0,2.0565,2.3
3.0,2.09,2.2
2.0,1.46299,1.6
1.0,1.7945,1.8
2.0,1.6355,1.8
1.0,1.739,2.4
0.0,2.02796,1.5
2.0,2.31,2.5
0.0,1.9035,2.8
0.0,1.72096,2.2
2.0,1.902,1.9
1.0,1.556,1.3
4.0,1.52549,1.9
0.0,1.8265,1.8
1.0,1.19498,1.3
2.0,1.7875,2.2
4.0,1.796,1.4
2.0,1.2365,1.6
4.0,1.5895,2.2
3.0,1.51100,1.8
4.0,1.295,1.4
0.0,0.96400,1.3
1.0,1.60098,1.4
1.0,1.381,1.8
1.0,1.18049,1.6
2.0,1.43649,1.8
1.0,1.7,0.9
1.0,1.8575,2.2
2.0,1.38000,0.7
1.0,1.65249,2.1
1.0,1.6405,2.6
2.0,1.506,1.5
3.0,1.536,1.5
2.0,1.61197,2.0
3.0,1.1365,1.6
2.0,1.425,1.2
1.0,1.6515,1.2
2.0,2.83,2.5
3.0,1.6265,1.3
0.0,1.149,0.9
1.0,1.09350,0.7
3.0,1.551,1.3
2.0,1.87199,2.0
4.0,2.133,2.1
2.0,1.2445,0.8
1.0,1.92,1.5
1.0,0.9525,0.8
1.0,1.403,1.5
0.0,1.067,1.5
1.0,1.2055,1.9
0.0,1.385,1.4
3.0,2.822,2.8
2.0,2.03550,1.4
1.0,1.91850,2.3
0.0,1.7235,2.0
2.0,1.16400,1.4
0.0,2.927,2.9
2.0,2.50049,1.8
1.0,1.527,1.6
0.0,1.79900,2.2
1.0,1.05749,1.1
0.0,1.3205,1.5
2.0,1.39800,2.4
0.0,1.51,1.1
0.0,1.59,1.0
1.0,1.0945,0.3
1.0,1.168,1.5
1.0,1.3315,1.6
3.0,1.579,1.4
2.0,1.62199,2.1
1.0,1.95,0.9
3.0,1.52549,1.6
1.0,1.498,1.5
3.0,1.544,1.6
2.0,1.57198,1.9
5.0,1.4965,2.3
2.0,1.05500,1.2
0.0,1.25700,1.7
0.0,1.127,1.7
0.0,1.63849,1.7
1.0,1.314,1.4
2.0,1.90100,3.2
1.0,2.2255,3.3
4.0,1.66200,1.5
1.0,0.93249,1.1
1.0,1.4015,1.4
1.0,1.55598,2.0
1.0,1.7285,1.0
0.0,1.139,1.1
2.0,1.07100,1.5
1.0,1.408,1.8
0.0,1.68800,1.6
0.0,2.1005,2.9
2.0,2.068,2.2
1.0,1.2555,1.1
0.0,2.2445,1.7
2.0,1.86500,2.3
0.0,1.75300,2.4
1.0,1.7665,1.3
2.0,1.66449,1.6
0.0,1.2545,2.3
2.0,2.02049,1.5
0.0,1.3285,1.9
0.0,1.58599,1.5
0.0,1.70850,2.6
2.0,1.5485,1.3
2.0,1.749,2.0
3.0,1.0685,1.9
2.0,1.51398,1.5
0.0,1.3445,1.6
2.0,1.4815,1.4
3.0,1.553,1.8
2.0,1.8,2.0
1.0,1.6125,1.3
1.0,1.41350,0.8
1.0,1.6035,2.4
1.0,1.62800,1.3
1.0,1.6435,2.0
0.0,1.40200,1.3
5.0,1.6605,1.6
1.0,1.85199,2.4
1.0,1.34350,1.6
2.0,1.7655,1.8
0.0,1.44498,1.8
0.0,1.9665,2.3
2.0,1.266,1.8
2.0,1.6105,1.2
3.0,1.7805,2.0
1.0,1.921,2.1
1.0,1.34750,1.5
0.0,1.7205,1.9
2.0,1.77198,2.1
2.0,1.28250,1.3
1.0,1.102,0.8
2.0,1.89898,1.0
2.0,1.1845,1.2
1.0,1.41049,1.7
1.0,1.2515,1.1
3.0,1.60799,2.0
2.0,1.86799,2.2
1.0,1.39150,1.2
3.0,1.428,2.2
0.0,1.3765,1.9
2.0,1.4875,1.6
4.0,1.266,1.1
0.0,1.36599,1.0
2.0,1.3095,1.2
0.0,1.17800,1.3
2.0,1.8215,1.8
2.0,1.621,1.7
2.0,0.95800,0.7
1.0,1.32100,1.3
1.0,1.5295,2.1
1.0,1.2385,1.7
1.0,1.249,1.4
1.0,1.3915,1.6
4.0,1.943,2.0
1.0,1.30300,0.9
1.0,1.249,1.0
0.0,1.2015,0.6
1.0,1.6965,1.4
0.0,1.3325,1.3
3.0,1.01500,0.9
0.0,1.182,1.2
1.0,1.14698,1.2
1.0,1.2615,1.4
1.0,2.201,1.1
1.0,1.4035,1.5
1.0,1.3565,0.8
1.0,1.60199,1.4
1.0,1.9665,1.8
1.0,1.72450,1.7
1.0,1.57950,1.8
3.0,1.298,1.2
2.0,1.077,1.0
3.0,1.06300,1.1
1.0,1.627,1.5
1.0,1.425,1.5
1.0,1.37649,1.9
1.0,1.24250,1.6
3.0,1.3975,1.5
1.0,1.2385,0.8
1.0,1.4825,1.0
1.0,1.2185,0.8
2.0,1.08,0.7
4.0,2.6975,2.4
2.0,1.48299,1.7
0.0,1.24149,1.1
1.0,1.488,0.9
2.0,1.50749,1.2
0.0,1.2855,1.1
5.0,1.07998,2.1
1.0,1.2555,1.6
0.0,1.75598,1.3
1.0,1.6695,2.2
1.0,2.1185,2.1
1.0,3.1475,3.9
2.0,1.0815,2.2
3.0,1.3605,1.2
1.0,1.4195,1.1
0.0,1.7215,1.7
3.0,1.49400,1.3
2.0,1.69750,1.6
2.0,1.7635,1.7
1.0,0.99849,0.3
0.0,1.2275,1.8
1.0,1.181,1.5
3.0,1.2805,0.6
4.0,1.60300,2.5
4.0,2.4325,1.9
2.0,1.5735,2.1
1.0,1.416,1.2
1.0,1.33849,1.4
1.0,1.216,1.7
4.0,1.5265,1.5
2.0,1.17,0.9
2.0,2.441,3.3
0.0,1.5705,2.1
2.0,1.716,1.4
1.0,1.30650,1.5
4.0,1.6125,1.5
1.0,1.876,1.4
0.0,1.089,1.4
2.0,1.92,1.8
1.0,1.84449,1.8
2.0,1.425,1.5
3.0,2.6905,3.1
3.0,2.01400,1.2
0.0,0.834,1.1
6.0,1.7645,2.4
3.0,1.991,2.6
1.0,1.9485,1.8
1.0,1.9395,2.0
3.0,1.384,1.6
0.0,1.45298,1.5
4.0,2.722,2.5
0.0,1.11599,1.1
1.0,1.319,1.3
0.0,0.9855,1.0
1.0,1.6695,2.5
0.0,1.1975,1.9
1.0,1.67,1.7
1.0,1.5465,1.5
1.0,1.94597,1.6
2.0,1.52300,1.8
5.0,1.54050,0.9
